iter	Passed	Remaining
1570	7353	39452
1571	7357	39448
1572	7362	39441
1573	7366	39435
1574	7371	39430
1575	7376	39426
1576	7380	39420
1577	7384	39413
1578	7389	39408
1579	7394	39404
1580	7399	39403
1581	7404	39399
1582	7409	39396
1583	7414	39393
1584	7418	39386
1585	7423	39381
1586	7428	39378
1587	7432	39372
1588	7436	39365
1589	7441	39360
1590	7446	39356
1591	7451	39352
1592	7457	39357
1593	7463	39356
1594	7468	39353
1595	7473	39354
1596	7478	39351
1597	7484	39354
1598	7490	39352
1599	7494	39347
1600	7499	39343
1601	7504	39339
1602	7509	39336
1603	7515	39338
1604	7519	39333
1605	7524	39328
1606	7529	39323
1607	7533	39318
1608	7538	39313
1609	7543	39309
1610	7548	39308
1611	7554	39307
1612	7559	39305
1613	7563	39300
1614	7568	39297
1615	7573	39294
1616	7578	39288
1617	7583	39284
1618	7587	39279
1619	7592	39275
1620	7597	39270
1621	7601	39265
1622	7607	39263
1623	7612	39261
1624	7616	39256
1625	7621	39252
1626	7626	39248
1627	7631	39244
1628	7636	39244
1629	7643	39249
1630	7648	39248
1631	7654	39245
1632	7659	39242
1633	7663	39237
1634	7668	39233
1635	7673	39230
1636	7677	39224
1637	7682	39220
1638	7687	39217
1639	7692	39214
1640	7697	39211
1641	7703	39209
1642	7707	39205
1643	7712	39201
1644	7718	39200
1645	7723	39197
1646	7727	39192
1647	7734	39199
1648	7739	39194
1649	7744	39192
1650	7750	39192
1651	7756	39196
1652	7763	39203
1653	7768	39201
1654	7775	39207
1655	7782	39212
1656	7787	39208
1657	7792	39206
1658	7798	39206
1659	7803	39204
1660	7807	39198
1661	7813	39197
1662	7819	39198
1663	7824	39197
1664	7829	39193
1665	7834	39193
1666	7840	39193
1667	7846	39193
1668	7852	39194
1669	7856	39189
1670	7862	39190
1671	7868	39193
1672	7874	39192
1673	7878	39187
1674	7884	39187
1675	7889	39185
1676	7895	39184
1677	7901	39188
1678	7907	39189
1679	7913	39188
1680	7918	39186
1681	7924	39187
1682	7930	39189
1683	7935	39189
1684	7941	39187
